product,answer_option,review_score
cooker,After using it for a month its handle loosens and i have to tight it to use it. Overall average product,0.8
cooker,Although I have many utensils of this company ….n I am very happy with them this pressure cooker was a still a puzzle…sometime it works well sometime it spews water all over…getting around,0.8
cooker,It is very light weight cookers For Longer cooking time items it is not good.For normal cooking it is good,0.7
cooker,This is really nice cooker for small family and amazing quality i recommend to everyone to try this cookers Steel is also good for health.,0.6
cooker,"Good, need spares also for this item....",0.4
cooker,It feels sturdy and design is clean,0.3
cooker,Up to month use there is no issue but you can not clean its cover in dish washed as its cover uses almunium safety plug.,0.3
cooker,"Excellent product, cooker is awesome. Must buy and stainless steel is good for health.it doesn burn the food Unable and easy to clean Best Hooker for cooking in litre range. As aluminium & non-stick is not good for health so I needed steel pressure cooker & this cooker is amazing.Value for money product.",0.2
cooker,"Turner is a great kitchen appliance! its easy to use and cooks food quickly with flavorful results The pressure cooker is made from unable stainless steel and is equipped with a range of safety features like a pressure release valve, to ensure your safety while cooking It has an easy to read pressure gauge and a timer that makes it simple to adjust the cooking time. I highly recommend the burgher Pressure Cooker, its a great addition to any kitchen!",0.1
cooker,"Good quality is so good there is no damage, every things was perfect as mention in the description. My mom's love this this",0.0
